127.0.0.1 - - [09/Jan/2018:04:33:54 +0000] "POST /wp-admin/update.php?action=upload-theme HTTP/1.0" 200 20946 "http://vanhandel-auto.local/wp-admin/theme-install.php?browse=featured" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36"
127.0.0.1 - - [09/Jan/2018:04:33:54 +0000] "GET /wp-admin/load-scripts.php?c=1&load%5B%5D=hoverIntent,common,admin-bar,svg-painter&ver=4.9.1 HTTP/1.0" 200 9998 "http://vanhandel-auto.local/wp-admin/update.php?action=upload-theme" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36"
127.0.0.1 - - [09/Jan/2018:04:33:54 +0000] "GET /wp-admin/load-styles.php?c=1&dir=ltr&load%5B%5D=dashicons,admin-bar,common,forms,admin-menu,dashboard,list-tables,edit,revisions,media,themes,about,nav-menus,wp-pointer,widgets&load%5B%5D=,site-icon,l10n,buttons&ver=4.9.1 HTTP/1.0" 200 94073 "http://vanhandel-auto.local/wp-admin/update.php?action=upload-theme" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36"
127.0.0.1 - - [09/Jan/2018:04:33:57 +0000] "GET /wp-admin/themes.php?action=activate&template=Vanhandel&stylesheet=Vanhandel&_wpnonce=66ea7ace45 HTTP/1.0" 302 0 "http://vanhandel-auto.local/wp-admin/update.php?action=upload-theme" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36"
127.0.0.1 - - [09/Jan/2018:04:33:57 +0000] "GET /wp-admin/themes.php?activated=true HTTP/1.0" 200 44158 "http://vanhandel-auto.local/wp-admin/update.php?action=upload-theme" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36"
127.0.0.1 - - [09/Jan/2018:04:34:02 +0000] "GET / HTTP/1.0" 200 22182 "http://vanhandel-auto.local/wp-admin/themes.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36"
127.0.0.1 - - [09/Jan/2018:04:34:02 +0000] "GET /CustomBehaviors.js HTTP/1.0" 404 22182 "http://vanhandel-auto.local/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36"
127.0.0.1 - - [09/Jan/2018:04:34:02 +0000] "GET /Images/Screenshot%20(310).png HTTP/1.0" 404 22182 "http://vanhandel-auto.local/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36"
127.0.0.1 - - [09/Jan/2018:04:34:02 +0000] "GET /Images/IMG_8897.JPG HTTP/1.0" 404 22182 "http://vanhandel-auto.local/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36"
127.0.0.1 - - [09/Jan/2018:04:34:02 +0000] "GET /CustomBehaviors.js HTTP/1.0" 404 22182 "http://vanhandel-auto.local/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36"
127.0.0.1 - - [09/Jan/2018:04:34:02 +0000] "GET /Images/ASE-Certification-107x41.png HTTP/1.0" 404 22182 "http://vanhandel-auto.local/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36"
127.0.0.1 - - [09/Jan/2018:04:34:02 +0000] "GET /Images/auto-value-logo-113x40.png HTTP/1.0" 404 22182 "http://vanhandel-auto.local/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36"
127.0.0.1 - - [09/Jan/2018:04:34:02 +0000] "GET /Images/GoogleReviewsScreenshot.png HTTP/1.0" 404 22182 "http://vanhandel-auto.local/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36"
127.0.0.1 - - [09/Jan/2018:04:34:02 +0000] "GET /Images/Car%20Dude.jpg HTTP/1.0" 404 22182 "http://vanhandel-auto.local/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36"
